image_name,sample_name,year,station,sample,stage,ind,length,calanus_type
2018_G_p81_1.tif,G_p81,2018,G,p81,CV,1,3.5,NA
2018_G_p81_2.tif,G_p81,2018,G,p81,CV,2,3.11,NA
2018_G_p81_3.tif,G_p81,2018,G,p81,CV,3,3.08,NA
2018_G_p81_4.tif,G_p81,2018,G,p81,CV,4,3.27,NA
2018_G_p81_5.tif,G_p81,2018,G,p81,CV,5,3.04,NA
2018_G_p81_6.tif,G_p81,2018,G,p81,CV,6,3.26,NA
2018_G_p81_7.tif,G_p81,2018,G,p81,CV,7,3.12,NA
2018_G_p81_8.tif,G_p81,2018,G,p81,CV,8,3.45,NA
2018_G_p81_9.tif,G_p81,2018,G,p81,CV,9,3.34,NA
2018_G_p81_10.tif,G_p81,2018,G,p81,CV,10,3.09,NA
2018_G_p82_1.tif,G_p82,2018,G,p82,CV,1,3.25,NA
2018_G_p82_2.tif,G_p82,2018,G,p82,CV,2,3.13,NA
2018_G_p82_3.tif,G_p82,2018,G,p82,CV,3,3.35,NA
2018_G_p82_4.tif,G_p82,2018,G,p82,CV,4,3.35,NA
2018_G_p82_5.tif,G_p82,2018,G,p82,CV,5,3.07,NA
2018_G_p82_6.tif,G_p82,2018,G,p82,CV,6,3.24,NA
2018_G_p82_7.tif,G_p82,2018,G,p82,CV,7,3.24,NA
2018_G_p82_8.tif,G_p82,2018,G,p82,CV,8,3.38,NA
2018_G_p82_9.tif,G_p82,2018,G,p82,CV,9,3.01,NA
2018_G_p82_10.tif,G_p82,2018,G,p82,CV,10,3.22,NA
2018_G_p83_1.tif,G_p83,2018,G,p83,CV,1,3,NA
2018_G_p83_2.tif,G_p83,2018,G,p83,CV,2,3.18,NA
2018_G_p83_3.tif,G_p83,2018,G,p83,CV,3,3.19,NA
2018_G_p83_4.tif,G_p83,2018,G,p83,CV,4,3.26,NA
2018_G_p83_5.tif,G_p83,2018,G,p83,CV,5,3.47,NA
2018_G_p83_6.tif,G_p83,2018,G,p83,CV,6,3.16,NA
2018_G_p83_7.tif,G_p83,2018,G,p83,CV,7,3.08,NA
2018_G_p83_8.tif,G_p83,2018,G,p83,CV,8,2.98,NA
2018_G_p83_9.tif,G_p83,2018,G,p83,CV,9,3.22,NA
2018_G_p83_10.tif,G_p83,2018,G,p83,CV,10,3.3,NA
2018_G_p84_1.tif,G_p84,2018,G,p84,CV,1,2.53,NA
2018_G_p84_2.tif,G_p84,2018,G,p84,CV,2,2.54,NA
2018_G_p84_3.tif,G_p84,2018,G,p84,CV,3,2.55,NA
2018_G_p84_4.tif,G_p84,2018,G,p84,CV,4,2.6,NA
2018_G_p84_5.tif,G_p84,2018,G,p84,CV,5,2.99,NA
2018_G_p84_6.tif,G_p84,2018,G,p84,CV,6,2.72,NA
2018_G_p84_7.tif,G_p84,2018,G,p84,CV,7,2.57,NA
2018_G_p84_8.tif,G_p84,2018,G,p84,CV,8,2.81,NA
2018_G_p84_9.tif,G_p84,2018,G,p84,CV,9,2.7,NA
2018_G_p84_10.tif,G_p84,2018,G,p84,CV,10,2.51,NA
2018_G_p85_1.tif,G_p85,2018,G,p85,CV,1,2.57,NA
2018_G_p85_2.tif,G_p85,2018,G,p85,CV,2,2.62,NA
2018_G_p85_3.tif,G_p85,2018,G,p85,CV,3,2.43,NA
2018_G_p85_4.tif,G_p85,2018,G,p85,CV,4,2.36,NA
2018_G_p85_5.tif,G_p85,2018,G,p85,CV,5,2.68,NA
2018_G_p85_6.tif,G_p85,2018,G,p85,CV,6,2.67,NA
2018_G_p85_7.tif,G_p85,2018,G,p85,CV,7,2.71,NA
2018_G_p85_8.tif,G_p85,2018,G,p85,CV,8,2.41,NA
2018_G_p85_9.tif,G_p85,2018,G,p85,CV,9,2.68,NA
2018_G_p85_10.tif,G_p85,2018,G,p85,CV,10,2.41,NA
2018_G_p86_1.tif,G_p86,2018,G,p86,CV,1,2.32,NA
2018_G_p86_2.tif,G_p86,2018,G,p86,CV,2,2.29,NA
2018_G_p86_3.tif,G_p86,2018,G,p86,CV,3,2.71,NA
2018_G_p86_4.tif,G_p86,2018,G,p86,CV,4,2.2,NA
2018_G_p86_5.tif,G_p86,2018,G,p86,CV,5,2.32,NA
2018_G_p86_6.tif,G_p86,2018,G,p86,CV,6,2.49,NA
2018_G_p86_7.tif,G_p86,2018,G,p86,CV,7,2.6,NA
2018_G_p86_8.tif,G_p86,2018,G,p86,CV,8,2.77,NA
2018_G_p86_9.tif,G_p86,2018,G,p86,CV,9,2.62,NA
2018_G_p86_10.tif,G_p86,2018,G,p86,CV,10,2.52,NA
2018_G_p87_1.tif,G_p87,2018,G,p87,CV,1,3.49,NA
2018_G_p87_2.tif,G_p87,2018,G,p87,CV,2,2.95,NA
2018_G_p87_3.tif,G_p87,2018,G,p87,CV,3,3.15,NA
2018_G_p87_4.tif,G_p87,2018,G,p87,CV,4,3.18,NA
2018_G_p87_5.tif,G_p87,2018,G,p87,CV,5,3.13,NA
2018_G_p87_6.tif,G_p87,2018,G,p87,CV,6,3.08,NA
2018_G_p87_7.tif,G_p87,2018,G,p87,CV,7,3.01,NA
2018_G_p87_8.tif,G_p87,2018,G,p87,CV,8,3.03,NA
2018_G_p87_9.tif,G_p87,2018,G,p87,CV,9,3.23,NA
2018_G_p87_10.tif,G_p87,2018,G,p87,CV,10,3.32,NA
2018_G_p88_1.tif,G_p88,2018,G,p88,CV,1,3.06,NA
2018_G_p88_2.tif,G_p88,2018,G,p88,CV,2,3.09,NA
2018_G_p88_3.tif,G_p88,2018,G,p88,CV,3,2.9,NA
2018_G_p88_4.tif,G_p88,2018,G,p88,CV,4,3.17,NA
2018_G_p88_5.tif,G_p88,2018,G,p88,CV,5,3.26,NA
2018_G_p88_6.tif,G_p88,2018,G,p88,CV,6,3.39,NA
2018_G_p88_7.tif,G_p88,2018,G,p88,CV,7,3.05,NA
2018_G_p88_8.tif,G_p88,2018,G,p88,CV,8,3.03,NA
2018_G_p88_9.tif,G_p88,2018,G,p88,CV,9,2.82,NA
2018_G_p88_10.tif,G_p88,2018,G,p88,CV,10,3.42,NA
2018_G_p89_1.tif,G_p89,2018,G,p89,CV,1,2.4,NA
2018_G_p89_2.tif,G_p89,2018,G,p89,CV,2,2.64,NA
2018_G_p89_3.tif,G_p89,2018,G,p89,CV,3,2.63,NA
2018_G_p89_4.tif,G_p89,2018,G,p89,CV,4,2.68,NA
2018_G_p89_5.tif,G_p89,2018,G,p89,CV,5,2.3,NA
2018_G_p89_6.tif,G_p89,2018,G,p89,CV,6,2.6,NA
2018_G_p89_7.tif,G_p89,2018,G,p89,CV,7,2.53,NA
2018_G_p89_8.tif,G_p89,2018,G,p89,CV,8,2.43,NA
2018_G_p89_9.tif,G_p89,2018,G,p89,CV,9,2.23,NA
2018_G_p89_10.tif,G_p89,2018,G,p89,CV,10,2.42,NA
2018_G_p90_1.tif,G_p90,2018,G,p90,CV,1,2.49,NA
2018_G_p90_2.tif,G_p90,2018,G,p90,CV,2,2.55,NA
2018_G_p90_3.tif,G_p90,2018,G,p90,CV,3,2.65,NA
2018_G_p90_4.tif,G_p90,2018,G,p90,CV,4,2.58,NA
2018_G_p90_5.tif,G_p90,2018,G,p90,CV,5,2.6,NA
2018_G_p90_6.tif,G_p90,2018,G,p90,CV,6,2.62,NA
2018_G_p90_7.tif,G_p90,2018,G,p90,CV,7,2.66,NA
2018_G_p90_8.tif,G_p90,2018,G,p90,CV,8,2.92,NA
2018_G_p90_9.tif,G_p90,2018,G,p90,CV,9,2.64,NA
2018_G_p90_10.tif,G_p90,2018,G,p90,CV,10,2.63,NA
2018_F_p51_1.tif,F_p51,2018,F,p51,CV,1,3.42,NA
2018_F_p51_2.tif,F_p51,2018,F,p51,CV,2,3.05,NA
2018_F_p51_3.tif,F_p51,2018,F,p51,CV,3,3.14,NA
2018_F_p51_4.tif,F_p51,2018,F,p51,CV,4,3.34,NA
2018_F_p51_5.tif,F_p51,2018,F,p51,CV,5,3.34,NA
2018_F_p51_6.tif,F_p51,2018,F,p51,CV,6,3.28,NA
2018_F_p51_7.tif,F_p51,2018,F,p51,CV,7,3.08,NA
2018_F_p51_8.tif,F_p51,2018,F,p51,CV,8,3.27,NA
2018_F_p51_9.tif,F_p51,2018,F,p51,CV,9,2.87,NA
2018_F_p51_10.tif,F_p51,2018,F,p51,CV,10,3.18,NA
2018_F_p52_1.tif,F_p52,2018,F,p52,CV,1,2.91,NA
2018_F_p52_2.tif,F_p52,2018,F,p52,CV,2,3.14,NA
2018_F_p52_3.tif,F_p52,2018,F,p52,CV,3,3.03,NA
2018_F_p52_4.tif,F_p52,2018,F,p52,CV,4,3.16,NA
2018_F_p52_5.tif,F_p52,2018,F,p52,CV,5,3.07,NA
2018_F_p52_6.tif,F_p52,2018,F,p52,CV,6,3.07,NA
2018_F_p52_7.tif,F_p52,2018,F,p52,CV,7,2.92,NA
2018_F_p52_8.tif,F_p52,2018,F,p52,CV,8,3.07,NA
2018_F_p52_9.tif,F_p52,2018,F,p52,CV,9,3.18,NA
2018_F_p52_10.tif,F_p52,2018,F,p52,CV,10,3.02,NA
2018_F_p53_1.tif,F_p53,2018,F,p53,CV,1,3.07,NA
2018_F_p53_2.tif,F_p53,2018,F,p53,CV,2,2.99,NA
2018_F_p53_3.tif,F_p53,2018,F,p53,CV,3,3.14,NA
2018_F_p53_4.tif,F_p53,2018,F,p53,CV,4,3,NA
2018_F_p53_5.tif,F_p53,2018,F,p53,CV,5,3.12,NA
2018_F_p53_6.tif,F_p53,2018,F,p53,CV,6,2.85,NA
2018_F_p53_7.tif,F_p53,2018,F,p53,CV,7,3.06,NA
2018_F_p53_8.tif,F_p53,2018,F,p53,CV,8,3,NA
2018_F_p53_9.tif,F_p53,2018,F,p53,CV,9,2.96,NA
2018_F_p53_10.tif,F_p53,2018,F,p53,CV,10,2.92,NA
2018_F_p54_1.tif,F_p54,2018,F,p54,CV,1,2.57,NA
2018_F_p54_2.tif,F_p54,2018,F,p54,CV,2,2.63,NA
2018_F_p54_3.tif,F_p54,2018,F,p54,CV,3,2.19,NA
2018_F_p54_4.tif,F_p54,2018,F,p54,CV,4,2.42,NA
2018_F_p54_5.tif,F_p54,2018,F,p54,CV,5,2.33,NA
2018_F_p54_6.tif,F_p54,2018,F,p54,CV,6,2.29,NA
2018_F_p54_7.tif,F_p54,2018,F,p54,CV,7,2.37,NA
2018_F_p54_8.tif,F_p54,2018,F,p54,CV,8,2.38,NA
2018_F_p54_9.tif,F_p54,2018,F,p54,CV,9,2.87,NA
2018_F_p54_10.tif,F_p54,2018,F,p54,CV,10,2.44,NA
2018_F_p55_1.tif,F_p55,2018,F,p55,CV,1,2.6,NA
2018_F_p55_2.tif,F_p55,2018,F,p55,CV,2,2.64,NA
2018_F_p55_3.tif,F_p55,2018,F,p55,CV,3,2.91,NA
2018_F_p55_4.tif,F_p55,2018,F,p55,CV,4,2.73,NA
2018_F_p55_5.tif,F_p55,2018,F,p55,CV,5,2.72,NA
2018_F_p55_6.tif,F_p55,2018,F,p55,CV,6,2.64,NA
2018_F_p55_7.tif,F_p55,2018,F,p55,CV,7,2.79,NA
2018_F_p55_8.tif,F_p55,2018,F,p55,CV,8,2.64,NA
2018_F_p55_9.tif,F_p55,2018,F,p55,CV,9,2.52,NA
2018_F_p55_10.tif,F_p55,2018,F,p55,CV,10,2.5,NA
2018_F_p56_1.tif,F_p56,2018,F,p56,CV,1,3.15,NA
2018_F_p56_2.tif,F_p56,2018,F,p56,CV,2,2.93,NA
2018_F_p56_3.tif,F_p56,2018,F,p56,CV,3,3.38,NA
2018_F_p56_4.tif,F_p56,2018,F,p56,CV,4,2.95,NA
2018_F_p56_5.tif,F_p56,2018,F,p56,CV,5,3.26,NA
2018_F_p56_6.tif,F_p56,2018,F,p56,CV,6,3.09,NA
2018_F_p56_7.tif,F_p56,2018,F,p56,CV,7,2.96,NA
2018_F_p56_8.tif,F_p56,2018,F,p56,CV,8,3.05,NA
2018_F_p56_9.tif,F_p56,2018,F,p56,CV,9,3.1,NA
2018_F_p56_10.tif,F_p56,2018,F,p56,CV,10,3.11,NA
2018_F_p57_1.tif,F_p57,2018,F,p57,CV,1,2.98,NA
2018_F_p57_2.tif,F_p57,2018,F,p57,CV,2,2.93,NA
2018_F_p57_3.tif,F_p57,2018,F,p57,CV,3,3.07,NA
2018_F_p57_4.tif,F_p57,2018,F,p57,CV,4,3.25,NA
2018_F_p57_5.tif,F_p57,2018,F,p57,CV,5,3.09,NA
2018_F_p57_6.tif,F_p57,2018,F,p57,CV,6,3.03,NA
2018_F_p57_7.tif,F_p57,2018,F,p57,CV,7,3.06,NA
2018_F_p57_8.tif,F_p57,2018,F,p57,CV,8,3.12,NA
2018_F_p57_9.tif,F_p57,2018,F,p57,CV,9,2.9,NA
2018_F_p57_10.tif,F_p57,2018,F,p57,CV,10,2.99,NA
2018_F_p58_1.tif,F_p58,2018,F,p58,CV,1,2.47,NA
2018_F_p58_2.tif,F_p58,2018,F,p58,CV,2,2.46,NA
2018_F_p58_3.tif,F_p58,2018,F,p58,CV,3,2.27,NA
2018_F_p58_4.tif,F_p58,2018,F,p58,CV,4,2.42,NA
2018_F_p58_5.tif,F_p58,2018,F,p58,CV,5,2.77,NA
2018_F_p58_6.tif,F_p58,2018,F,p58,CV,6,2.7,NA
2018_F_p58_7.tif,F_p58,2018,F,p58,CV,7,2.41,NA
2018_F_p58_8.tif,F_p58,2018,F,p58,CV,8,2.5,NA
2018_F_p58_9.tif,F_p58,2018,F,p58,CV,9,2.3,NA
2018_F_p58_10.tif,F_p58,2018,F,p58,CV,10,2.28,NA
2018_F_p59_1.tif,F_p59,2018,F,p59,CV,1,2.6,NA
2018_F_p59_2.tif,F_p59,2018,F,p59,CV,2,2.86,NA
2018_F_p59_3.tif,F_p59,2018,F,p59,CV,3,2.51,NA
2018_F_p59_4.tif,F_p59,2018,F,p59,CV,4,2.2,NA
2018_F_p59_5.tif,F_p59,2018,F,p59,CV,5,2.61,NA
2018_F_p59_6.tif,F_p59,2018,F,p59,CV,6,2.4,NA
2018_F_p59_7.tif,F_p59,2018,F,p59,CV,7,2.64,NA
2018_F_p59_8.tif,F_p59,2018,F,p59,CV,8,2.59,NA
2018_F_p59_9.tif,F_p59,2018,F,p59,CV,9,2.43,NA
2018_F_p59_10.tif,F_p59,2018,F,p59,CV,10,2.74,NA
2018_F_p60_1.tif,F_p60,2018,F,p60,CV,1,2.4,NA
2018_F_p60_2.tif,F_p60,2018,F,p60,CV,2,2.6,NA
2018_F_p60_3.tif,F_p60,2018,F,p60,CV,3,2.57,NA
2018_F_p60_4.tif,F_p60,2018,F,p60,CV,4,2.24,NA
2018_F_p60_5.tif,F_p60,2018,F,p60,CV,5,2.67,NA
2018_F_p60_6.tif,F_p60,2018,F,p60,CV,6,2.52,NA
2018_F_p60_7.tif,F_p60,2018,F,p60,CV,7,2.38,NA
2018_F_p60_8.tif,F_p60,2018,F,p60,CV,8,2.53,NA
2018_F_p60_9.tif,F_p60,2018,F,p60,CV,9,2.5,NA
2018_F_p60_10.tif,F_p60,2018,F,p60,CV,10,2.7,NA
2018_AT_p101_1.tif,AT_p101,2018,AT,p101,CV,1,2.67,NA
2018_AT_p101_2.tif,AT_p101,2018,AT,p101,CV,2,2.41,NA
2018_AT_p101_3.tif,AT_p101,2018,AT,p101,CV,3,2.34,NA
2018_AT_p101_4.tif,AT_p101,2018,AT,p101,CV,4,2.62,NA
2018_AT_p101_5.tif,AT_p101,2018,AT,p101,CV,5,2.68,NA
2018_AT_p101_6.tif,AT_p101,2018,AT,p101,CV,6,2.55,NA
2018_AT_p101_7.tif,AT_p101,2018,AT,p101,CV,7,2.35,NA
2018_AT_p101_8.tif,AT_p101,2018,AT,p101,CV,8,2.68,NA
2018_AT_p101_9.tif,AT_p101,2018,AT,p101,CV,9,2.42,NA
2018_AT_p101_10.tif,AT_p101,2018,AT,p101,CV,10,2.45,NA
2018_AT_p102_1.tif,AT_p102,2018,AT,p102,CV,1,2.55,NA
2018_AT_p102_2.tif,AT_p102,2018,AT,p102,CV,2,2.34,NA
2018_AT_p102_3.tif,AT_p102,2018,AT,p102,CV,3,2.47,NA
2018_AT_p102_4.tif,AT_p102,2018,AT,p102,CV,4,2.42,NA
2018_AT_p102_5.tif,AT_p102,2018,AT,p102,CV,5,2.56,NA
2018_AT_p102_6.tif,AT_p102,2018,AT,p102,CV,6,2.39,NA
2018_AT_p102_7.tif,AT_p102,2018,AT,p102,CV,7,2.45,NA
2018_AT_p102_8.tif,AT_p102,2018,AT,p102,CV,8,2.61,NA
2018_AT_p102_9.tif,AT_p102,2018,AT,p102,CV,9,2.57,NA
2018_AT_p102_10.tif,AT_p102,2018,AT,p102,CV,10,2.26,NA
2018_AT_p103_1.tif,AT_p103,2018,AT,p103,CV,1,2.41,NA
2018_AT_p103_2.tif,AT_p103,2018,AT,p103,CV,2,2.36,NA
2018_AT_p103_3.tif,AT_p103,2018,AT,p103,CV,3,2.52,NA
2018_AT_p103_4.tif,AT_p103,2018,AT,p103,CV,4,2.16,NA
2018_AT_p103_5.tif,AT_p103,2018,AT,p103,CV,5,2.44,NA
2018_AT_p103_6.tif,AT_p103,2018,AT,p103,CV,6,2.53,NA
2018_AT_p103_7.tif,AT_p103,2018,AT,p103,CV,7,2.7,NA
2018_AT_p103_8.tif,AT_p103,2018,AT,p103,CV,8,2.48,NA
2018_AT_p103_9.tif,AT_p103,2018,AT,p103,CV,9,2.61,NA
2018_AT_p103_10.tif,AT_p103,2018,AT,p103,CV,10,2.61,NA
2018_AT_p104_1.tif,AT_p104,2018,AT,p104,CV,1,2.54,NA
2018_AT_p104_2.tif,AT_p104,2018,AT,p104,CV,2,2.56,NA
2018_AT_p104_3.tif,AT_p104,2018,AT,p104,CV,3,2.6,NA
